internship_title,company_name,location,start_date,duration,stipend
Java Development,SunbaseData,Work From Home,Immediately,6 Months,"30,000"
Java Development,SunbaseData,Work From Home,Immediately,6 Months,"30,000"
Accounting and Finance,DAKSM & Co. LLP,Noida,Immediately,6 Months,"10,000"
Sales & Digital Marketing,Bharat Natural Elements Private Limited,Bangalore,Immediately,6 Months,"5,000"
Social Entrepreneurship,Hamari Pahchan NGO,Work From Home,Immediately,6 Months,
Videography & Photography,Esquare Lifestyle,Bangalore,Immediately,6 Months,"12,000"
English Curriculum Writing,Team Everest,Work From Home,Immediately,6 Months,
Search Engine Optimization (SEO),Global Trend,Work From Home,Immediately,6 Months,"5,000"
Digital Dreamweaver: Internship Odyssey In Graphic Design,Global Trend,Work From Home,Immediately,6 Months,"7,000"
Graphic Design,Expedify,Work From Home,Immediately,6 Months,"15,000"
Campus Ambassador,Internshala,Work From Home,Not specified,6 Months,"20,000"
Customer Support Management,ClearTax,Bangalore,Immediately,6 Months,"30,000"
Bilingual Content Writing,Aam Aadmi Party,Delhi,Immediately,6 Months,
Office Operations,Aam Aadmi Party,Delhi,Immediately,6 Months,
Design,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"10,000"
Copywriting,Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"10,000"
Social Media And Influencer Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"5,000"
Social Media And Influencer Marketing,Hungama Digital Media Entertainment Private Limited,Mumbai,Immediately,6 Months,"5,000"
Customer Success,ClearTax,Bangalore,Immediately,6 Months,"20,000"
Instagram/TikTok Reel Creation,Across The Globe (ATG),Work From Home,Immediately,6 Months,"2,500"
Corporate Sales,Across The Globe (ATG),Work From Home,Immediately,6 Months,"2,000"
Affiliate Marketing,Across The Globe (ATG),Work From Home,Immediately,6 Months,"2,500"
Product Management,Saregama India Limited,Mumbai,Immediately,6 Months,"10,000"
Influencer Marketing,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,
Media And Public Relations (PR),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,
Law/Legal,Thomas Cook,Mumbai,Immediately,6 Months,"3,000"
Human Resources (HR),Sanghvi Beauty & Technologies Private Limited (MyGlamm),Delhi,Immediately,6 Months,"10,000"
PHP Laravel Development,Across The Globe (ATG),Work From Home,Immediately,6 Months,"2,500"
Campus Ambassador,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,
Social Work,Subhansh Sewa Trust,Work From Home,Immediately,6 Months,
Social (Fundraising),Subhansh Sewa Trust,Work From Home,Immediately,6 Months,
Human Resources (HR),Paisabazaar,Gurgaon,Immediately,6 Months,"20,000"
Sales,Prolance,Bangalore,Immediately,6 Months,"5,000"
Sales  Executive,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,6 Months,"12,000"
Marketing,HarperCollins Publishers India Private Limited,Gurgaon,Immediately,6 Months,"5,000"
Human Resources (HR),Zucol Group Of Companies,Gurgaon,Immediately,6 Months,"8,000"
Sales,NoBroker Technologies Solutions Private Limited,Chennai,Immediately,6 Months,"12,000"
Recruitment,Ozzone Group,Work From Home,Immediately,6 Months,"4,500"
Recruitment,Ozzone Group,Work From Home,Immediately,6 Months,"4,500"
Sales,Reliance Brands Limited,Chandigarh,Immediately,6 Months,"14,000"
UX Design,Techolution,Work From Home,Immediately,6 Months,"15,000"
HR Consultant,Paracoat Products Limited,Gurgaon,Immediately,6 Months,"15,000"
Law/Legal,Techolution,Work From Home,Immediately,6 Months,"15,000"
L&D,Godrej And Boyce Manufacturing Company Limited,Mumbai,Immediately,6 Months,"4,000"
Human Resources (HR),Trent Hypermarket Private Limited - STAR Bazaar,Mumbai,Immediately,6 Months,"10,000"
Search Engine Optimization (SEO),CollegeDunia Web Private Limited,Work From Home,Immediately,6 Months,"15,000"
Human Resources (HR),International SOS,Mumbai,Immediately,6 Months,"15,000"
Launch Management,Cultfit Healthcare Private Limited,Hyderabad,Immediately,6 Months,"25,000"
Marketing,Shree Maruti Courier Service Private Limited,Sachin INA,Immediately,6 Months,"7,000"
HR - Talent Acquisition,Niva Bupa Health Insurance,Noida,Immediately,6 Months,"10,000"
Campus Ambassador,Across The Globe (ATG),Work From Home,Immediately,6 Months,
Customer Support,NoBroker Technologies Solution Private Limited,Bangalore,Immediately,6 Months,"12,000"
Human Resources (HR),Motilal Oswal Financial Services Limited,Mumbai,Immediately,6 Months,"5,000"
Sales,Across The Globe (ATG),Work From Home,Immediately,3 Months,"2,000"
Marketing,Vedantu Innovations,Tiruchirappalli,Immediately,3 Months,"20,000"
Generative Adversarial Networks,Across The Globe (ATG),Work From Home,Immediately,3 Months,"12,000"
Node.js Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"2,500"
Product Management (Technical),Across The Globe (ATG),Work From Home,Immediately,3 Months,"8,000"
Web Development (Frontend),Across The Globe (ATG),Work From Home,Immediately,3 Months,"7,500"
Sales,NoBroker Technologies Solutions Private Limited,Hyderabad,Immediately,3 Months,"15,000"
Technical Content Writing,Across The Globe (ATG),Work From Home,Immediately,3 Months,"2,500"
MERN Stack Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"10,000"
ReactJs Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"5,000"
Python Django Development,Across The Globe (ATG),Work From Home,Immediately,3 Months,"2,500"
Python Automation,Across The Globe (ATG),Work From Home,Immediately,3 Months,"2,500"
HR & Admin,Modenik Lifestyle Private Limited,Bangalore,Immediately,3 Months,"8,000"
Resource Management,Techolution,Hyderabad,Immediately,3 Months,"15,000"
Project Management,IIT Bombay,Work From Home,Immediately,3 Months,"2,000"
Business Development,Ozzone Group,Work From Home,Immediately,3 Months,"10,000"
Business Development (Sales),NoBroker Technologies Solutions Private Limited,Ahmedabad,Immediately,3 Months,"15,000"
Sales Promotion,IndiaFirst Life Private Limited,Mumbai,Immediately,3 Months,"20,000"
UI Design,Pepperfry,Mumbai,Immediately,3 Months,"15,000"
Project Management (Marketing),Across The Globe (ATG),Work From Home,Immediately,3 Months,"7,000"
Finance & Accounting,MetrixLab,Hyderabad,Immediately,3 Months,"18,000"
Customer Relationship,NoBroker Technologies Solutions Private Limited,Bangalore,Immediately,3 Months,"12,000"
Talent Acquisition,Amara Raja Group,Hyderabad,Immediately,3 Months,"15,000"
Communication & Project Management,Teach For India,Hyderabad,Immediately,3 Months,"4,000"
Logistics And Operations,Delhivery,Mumbai,Immediately,3 Months,"8,000"
Event Management,Times Internet,Noida,Immediately,3 Months,"10,000"
Content Writing,LeadSquared,Bangalore,Immediately,3 Months,"20,000"
